code;district;population
1;Grote Markt;3436
2;Dansaert;9115
3;Begijnhof - Diksmuide;6914
4;Martelaars;2656
5;Onze-Lieve-Vrouw-ter-Sneeuw;2588
6;Koningswijk;321
7;Zavel;2783
8;Marollen;12374
9;Stalingrad;3987
10;Anneessens;10075
11;Kuregem Bara;12230
12;Kuregem Veeartsenij;9692
13;Kuregem Dauw;5999
14;Hertogin;5369
15;Weststation;10065
16;Historisch Molenbeek;17915
17;Koekelberg;8708
18;Havenwijk;18000
19;Oud Laken West;8349
20;Oud Laken Oost;19174
21;Noordwijk;15918
22;Brabantwijk;19197
23;Colignon;18005
24;Haachtse Steenweg;18110
25;Sint-Joost Centrum;19394
26;Dailly;17905
27;Josaphat;7321
28;Plasky;10288
29;Squares;13918
30;Tervurense Poort;10589
31;Sint-Michiel;6983
32;Sint-Pieter;14469
33;Jacht;18022
34;Jourdan;9126
35;Europawijk;3083
36;Matonge;9099
37;Flagey - Malibran;13815
38;Hospitaal Etterbeek-Elsene;10279
39;Vijvers van Elsene;8787
40;Louiza - Langehaag;6265
41;Berckmans - Munthof;8790
42;Kastelein;9703
43;Brugmann - Lepoutre;16544
44;Churchill;13106
45;Molière - Longchamp;10096
46;Hoogte 100;8394
47;Hoog Sint-Gillis;14987
48;Hallepoort;13641
49;Bosnie;7568
50;Laag Vorst;13724
51;Van Volxem - Van Haelen;13184
52;Veeweide - Aurore;15984
53;Bizet - Rad - Coovi;15328
54;Vogelenzang - Erasmus;1821
55;Neerpede;1849
56;Goede Lucht;1848
57;Scherdemaal;10854
58;Anderlecht - Centrum - Wayez;14429
59;Scheut;13658
60;Buffon;5862
61;Moortebeek - Peterbos;9676
62;Machtens;23784
63;Karreveld;14782
64;Frans Hospitaal;13651
65;Korenbeek;9275
66;Potaarde;3485
67;Sint-Agatha Berchem Centrum;15619
68;Villa's van Ganshoren;7412
69;Ganshoren Centrum;12051
70;Basiliek;13422
71;Woeste;19854
72;Jette Centrum;13047
73;Heymbosch - AZ-Jette;9569
74;Heizel;15408
75;Houba;18092
76;Mutsaard;14004
77;Heembeek;15303
78;Haren;6198
79;Vrede;12828
80;Helmet;12598
81;Schaarbeek Station;7888
82;Terdelt;9659
83;Conscience;8616
84;Leopold III Laan;9350
85;Josaphat Station;4882
86;Paduwa;11571
87;Reyers;3749
88;Georges Henri;15690
89;Gribaumont;11719
90;Roodebeek - Sterrebeelden;14543
91;Gulledelle;11351
92;Kapelleveld;5878
93;Woluwelaan;6440
94;Stokkel;9055
95;Sinte-Aleidis - Mooibos;4520
96;Sint-Paulus;7840
97;Putdaal;1428
98;Oudergem Centrum;5374
99;Vogelzang;10650
100;Waversteenweg - Sint-Juliaan;17412
101;Drie Linden;6970
102;Transvaal;6927
103;Bosvoorde Centrum;6141
104;Watermaal Centrum;10735
105;Dries;6358
106;Boondaal;11408
107;Universiteitswijk;11986
108;Montjoie - Langeveld;5507
109;Observatorium;6493
110;Fort Jaco;3150
111;Diesdelle;3175
112;Kriekenput - Homborch - Verrewinkel;4701
113;Sint-Job Kauwberg;5890
114;Dieweg;6651
115;Kalevoet - Moensberg;11755
116;Globe;15674
117;Vossegat - Roosendaal;8024
118;Sint-Denijs - Neerstalle;8369
700;Kerkhof Brussel;22
701;Kerkhof Elsene;1
702;Kerkhof Sint-Gillis;1
800;Industrie Noord;1745
801;Industrie NATO;629
802;Delta;0
803;Industrie Zuid;1829
804;Zuidstation;28
805;Industrie Birmingham;327
900;Koninklijk Domein Laken;30
901;Josaphatpark;11
902;Kruidtuin;0
903;Jubelpark;17
904;Léopoldpark;144
905;Park van Woluwe;121
906;Zonienwoud;100
907;Ter Kamerenbos;0
908;Wolvendaelpark;0
909;Dudenpark - Park van Vorst;519
910;Vijverspark;0
911;Astridpark;2
912;Bospark;0
913;Marie-Josepark;0
914;Scheutbos;91
915;Elisabethpark;2
916;Laarbeekbos - Poelbos;24
917;Boudewijnpark - Dielegembos;89
